room_code,room_name,item_type,item_code,item_name_en,item_name_es,item_name_fr,quantity
1BR-BA,1 Bed Room - Bariatric,FA,CLCN-008,CORNICE: square set flush between wall and ceiling; paint,CORNISA: encastre cuadrado a ras entre pared y techo; pintar,CORNICHE : équerre encastrée entre mur et plafond; peinture,1
1BR-BA,1 Bed Room - Bariatric,FFE,MGFP-002,FLOWMETER: medical air,CAUDALÍMETRO: aire medicinal,DÉBITMÈTRE : air médical,1
1BR-BA,1 Bed Room - Bariatric,FFE,DWWD-007,BLIND: venetian; integral,CIEGO: veneciano; integral,AVEUGLE : vénitien; intégral,1
1BR-BA,1 Bed Room - Bariatric,FFE,DWWD-001,BLIND: blackout,CIEGO: apagón,AVEUGLE : panne d'électricité,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIHR-019,BRACKET: for suction bottle,SOPORTE: para botella de succión,SUPPORT : pour bouteille d'aspiration,1
1BR-BA,1 Bed Room - Bariatric,FFE,FQBS-030,CHAIR: visitor; patient,SILLA: visitante; paciente,CHAISE : visiteur; patient,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIDI-001,DISPENSER: alcohol based hand rub,DISPENSADOR: desinfectante de manos a base de alcohol,DISTRIBUTEUR : désinfectant pour les mains à base d'alcool,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIJO-130,CUPBOARD: tall; single door; adj shelves and clothes rail,ARMARIO: alto; de una sola puerta; estantes adjuntos y barra para ropa,ARMOIRE : grande porte simple; étagères ajustables et tringle à vêtements,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIRT-032,TRACK: curtain; privacy; L shaped,PISTA: cortina; privacidad; en forma de L,PISTE : rideau; intimité; en forme de L,1
1BR-BA,1 Bed Room - Bariatric,FFE,FQGE-010,CURTAIN: privacy screen,CORTINA: pantalla de privacidad,RIDEAU : écran de confidentialité,1
1BR-BA,1 Bed Room - Bariatric,FFE,FQCW-016,BIN: waste; general; 20L,CUBO: basura; general; 20L,BAC : déchets; général; 20L,1
1BR-BA,1 Bed Room - Bariatric,FFE,MMGE-020,CHAIR: patient; bariatric,SILLA: paciente; bariátrica,CHAISE : patient; bariatrique,1
1BR-BA,1 Bed Room - Bariatric,FFE,MMBE-055,LIFTER: patient; ceiling mounted; sling component; bariatric,ELEVADOR: paciente; montado en el techo; componente de cabestrillo; bariátrico,LIFTER : patient; monté au plafond; composant de sangle; bariatrique,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIDI-014,DISPENSER: disposable glove,DISPENSADOR: guante desechable,DISTRIBUTEUR : gant jetable,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIDI-025,DISPENSER: paper/hand towel,DISPENSADOR: papel / toalla de mano,DISTRIBUTEUR : papier/essuie-mains,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIDI-030,DISPENSER: soap,DISPENSADOR: jabón,DISTRIBUTEUR : savon,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIDI-031,DISPENSER: soap antiseptic,DISPENSADOR: jabón antiséptico,DISTRIBUTEUR : savon antiseptique,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIHR-006,BRACKET: for display screen; wall mounted,SOPORTE: para pantalla de visualización; montado en la pared,SUPPORT : pour écran d'affichage; fixé au mur,1
1BR-BA,1 Bed Room - Bariatric,FFE,FQSN-051,LOCKER: 2 drawers; open under; lockable; mobile,LOCKER: 2 cajones; abierto debajo; con cerradura; móvil,LOCKER: 2 tiroirs; ouvert en dessous; verrouillable; mobile,1
1BR-BA,1 Bed Room - Bariatric,FFE,FQTA-013,TABLE: overbed,MESA: sobrecama,TABLE : sur-lit,1
1BR-BA,1 Bed Room - Bariatric,FFE,MGFP-004,FLOWMETER: oxygen,CAUDALIMETRO: oxigeno,DÉBITMÈTRE : oxygène,1
1BR-BA,1 Bed Room - Bariatric,FFE,MMGE-002,ADAPTER: suction,ADAPTADOR: succión,ADAPTATEUR : aspiration,1
1BR-BA,1 Bed Room - Bariatric,FFE,MMGE-100,SUCTION BOTTLE,BOTELLA DE SUCCION,BOUTEILLE D'ASPIRATION,1
1BR-BA,1 Bed Room - Bariatric,FFE,FIBM-019,WHITEBOARD: fixed; magnetic,PIZARRA: fija; magnética,TABLEAU BLANC : fixe; magnétique,1
1BR-BA,1 Bed Room - Bariatric,FFE,HYBA-010,BASIN: handwash; Type B,LAVABO: lavado a mano; Tipo B,VASQUE : lave-mains; Type B,1
1BR-BA,1 Bed Room - Bariatric,FFE,HYTP-037,TAPWARE: mixer; elbow levers,GRIFERÍA: mezclador; palancas de codo,ROBINETTERIE : mélangeur; leviers coudés,1
1BR-BA,1 Bed Room - Bariatric,FFE,ITBU-012,DISPLAY SCREEN: patient entertainment system,PANTALLA DE VISUALIZACIÓN: sistema de entretenimiento del paciente,ÉCRAN D'AFFICHAGE : système de divertissement pour les patients,1
1BR-BA,1 Bed Room - Bariatric,FFE,MMBE-004,BED: patient; bariatric; electric with mattress,CAMA: paciente; bariátrica; eléctrica con colchón,LIT : patient; bariatrique; électrique avec matelas,1
1BR-BA,1 Bed Room - Bariatric,FFE,ITNE-049,TELEPHONE: handset; desktop,TELÉFONO: microteléfono; escritorio,TÉLÉPHONE : combiné; ordinateur de bureau,1
1BR-BA,1 Bed Room - Bariatric,FFE,MMBE-053,LIFTER: patient; ceiling mounted; cassette motor for track; bariatric,ELEVADOR: paciente; montaje en techo; motor de cassette para carril; bariátrico,LIFTER : patient; monté au plafond; moteur à cassette pour rail; bariatrique,1
1BR-BA,1 Bed Room - Bariatric,FFE,MMBE-061,LIFTER: patient; ceiling mounted; track; traverse; bariatric,ELEVADOR: paciente; montado en el techo; sobre riel; transversal; bariátrico,LIFTER : patient; plafonnier; rail; traverse; bariatrique,1
1BR-BA,1 Bed Room - Bariatric,SE,ELPR-006,RCD: residual current device,RCD: dispositivo de corriente residual,RCD : dispositif de courant résiduel,2
1BR-BA,1 Bed Room - Bariatric,SE,ITIN-070,OUTLET: MATV,SALIDA: MATV,SORTIE : MATV,1
1BR-BA,1 Bed Room - Bariatric,SE,ITCL-008,BUTTON: nurse call; staff assist,BOTÓN: llamada a la enfermera; ayuda del personal,BOUTON : appel infirmière; assistance du personnel,1
1BR-BA,1 Bed Room - Bariatric,SE,LIFX-011,LIGHT: reading light,LUZ: luz de lectura,LIGHT : liseuse,1
1BR-BA,1 Bed Room - Bariatric,SE,LIFX-017,LIGHT: night light,LUZ: luz de noche,LUMIÈRE : veilleuse,1
1BR-BA,1 Bed Room - Bariatric,SE,ELBO-015,SWITCH: light; single,INTERRUPTOR: ligero; sencillo,COMMUTATEUR : léger; simple,1
1BR-BA,1 Bed Room - Bariatric,SE,ELBO-015,SWITCH: light; single,INTERRUPTOR: ligero; sencillo,COMMUTATEUR : léger; simple,3
1BR-BA,1 Bed Room - Bariatric,SE,MGAS-042,OUTLET: oxygen (O2); on services panel,SALIDA: oxígeno (O2); en panel de servicios,SORTIE : oxygène (O2); sur panneau de services,1
1BR-BA,1 Bed Room - Bariatric,SE,MGAS-022,OUTLET: medical air (MA); on services panel,SALIDA: aire medicinal (MA); en panel de servicios,SORTIE : air médical (MA); sur panneau de services,1
1BR-BA,1 Bed Room - Bariatric,SE,MGAS-062,OUTLET: suction; on services panel,SALIDA: aspiración; en panel de servicios,SORTIE : aspiration; sur panneau de services,1
1BR-BA,1 Bed Room - Bariatric,SE,ITCL-006,BUTTON: nurse call; patient to staff,BOTÓN: llamada de enfermera; paciente al personal,BOUTON : appel infirmière; patient au personnel,1
1BR-BA,1 Bed Room - Bariatric,SE,ITCL-028,HANDSET: nurse call; with patient to staff call button,AURICULAR: llamada de enfermera; con botón de llamada del paciente al personal,COMBINÉ : appel infirmière; avec bouton d'appel du patient au personnel,1
1BR-BA,1 Bed Room - Bariatric,SE,ITCL-004,BUTTON: nurse call; emergency,BOTÓN: llamada de enfermera; emergencia,BOUTON : appel infirmière; urgence,1
1BR-BA,1 Bed Room - Bariatric,SE,ELGP-109,GPO: single; wall mounted,GPO: individual; montado en la pared,GPO : simple; fixé au mur,1
1BR-BA,1 Bed Room - Bariatric,SE,ELGP-109,GPO: single; wall mounted,GPO: individual; montado en la pared,GPO : simple; fixé au mur,1
1BR-BA,1 Bed Room - Bariatric,SE,ELGP-208,GPO: double; wall mounted,GPO: doble; montado en la pared,GPO : double; fixé au mur,1
1BR-BA,1 Bed Room - Bariatric,SE,ELGP-110,GPO: single; wall mounted; cleaner,GPO: simple; montado en la pared; limpiador,GPO : simple; mural; nettoyeur,1
1BR-BA,1 Bed Room - Bariatric,SE,MMSP-026,SERVICES PANEL: wall mounted,PANEL DE SERVICIOS: de pared,PANNEAU DE SERVICES : mural,1
1BR-BA,1 Bed Room - Bariatric,SE,ITIN-025,OUTLET: data; double RJ45; on services panel,SALIDA: datos; doble RJ45; en panel de servicios,SORTIE : données; double RJ45; sur panneau de services,1
1BR-BA,1 Bed Room - Bariatric,SE,ELGP-105,GPO: single; on services panel,GPO: único; en el panel de servicios,GPO : unique; sur le panneau des services,4
1BR-BA,1 Bed Room - Bariatric,SE,ELGP-122,GPO: emergency power; single; on services panel,GPO: energía de emergencia; única; en el panel de servicios,GPO : alimentation de secours; simple; sur panneau de services,4
1BR-H-12,1 Bed Room - Holding; 12m2,FA,FLVY-007,FLOOR FINISH: vinyl; seamless; coved; standard slip resistant,ACABADO DEL PISO: vinilo; sin costuras; cóncavo; estándar antideslizante,FINITION DU SOL : vinyle; sans couture; à gorge; antidérapant standard,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,FLSK-010,SKIRTING: vinyl; floor vinyl coved; 150H; prefinished,RODAPIÉS: vinilo; suelo vinílico cóncavo; 150H; preacabado,PLINTHE : vinyle; revêtement de sol en vinyle; 150H; préfini,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,WLPR-001,WALL PROTECTION: bed protection wall panel,PROTECCIÓN DE PARED: panel de pared de protección de cama,PROTECTION MURALE : panneau mural de protection de lit,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,FLVY-009,FLOOR FINISH: vinyl; seamless; coved; wet area; non-slip,ACABADO DEL PISO: vinilo; sin costuras; cóncavo; área húmeda; antideslizante,FINITION DU SOL : vinyle; sans couture; à gorge; zone humide; antidérapant,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,DWPR-010,DOOR PROTECTION: to door frame; PVC; prefinished,PROTECCIÓN DE LA PUERTA: al marco de la puerta; PVC; preacabado,PROTECTION DE LA PORTE : jusqu'au cadre de la porte; PVC; préfini,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,WLPR-010,WALL PROTECTION: corner guards; to 900 AFFL,PROTECCIÓN DE PARED: cantoneras; hasta 900 AFFL,PROTECTION MURALE : cornières; jusqu'à 900 AFFL,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,WLWA-007,WALL FINISH: splashback,ACABADO DE PARED: salpicadero,FINITION MURALE : crédence,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,WLWA-004,WALL FINISH: paint; acrylic; washable,ACABADO DE PARED: pintura; acrílico; lavable,FINITION MURALE : peinture; acrylique; lavable,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,CLFS-006,CEILING: plasterboard; flush set; suspended; paint; washable,TECHO: cartón-yeso; empotrado; suspendido; pintado; lavable,PLAFOND : plaques de plâtre; encastré; suspendu; peinture; lavable,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,CLCN-002,CORNICE: aluminium; 24mm shadow angle; powdercoat,CORNICE: aluminio; ángulo de sombra de 24 mm; pintura en polvo,CORNICHE : aluminium; angle d'ombre de 24 mm; revêtement poudré,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,DWWH-005,WINDOW,VENTANA,LA FENÊTRE,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,DWOB-010,OBSERVATION: through door/s; glass; clear,OBSERVACIÓN: a través de puerta (s); vidrio; transparente,OBSERVATION : traversant(s) porte(s); verre; clair,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,DWOB-002,OBSERVATION: internal window; alum/glass; door height; powdercoat,OBSERVACIÓN: ventana interna; alumbre/vidrio; altura de la puerta; pintura en polvo,OBSERVATION : fenêtre intérieure; alun/verre; hauteur de porte; revêtement poudré,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,DWPR-006,DOOR PROTECTION: protection plate; to 900 AFFL; PVC; prefinished,PROTECCIÓN DE LA PUERTA: placa de protección; hasta 900 AFFL; PVC; preacabado,PROTECTION DE PORTE : plaque de protection; à 900 AFFL; PVC; préfini,1
1BR-H-12,1 Bed Room - Holding; 12m2,FA,DWGL-033,DOOR: 1400mm c/o; 1 1/2 leaf; observation panel; solid core/glass; paint,PUERTA: 1400 mm c / o; 1 1/2 hoja; panel de observación; núcleo sólido / vidrio; pintura,PORTE : 1400 mm c/o; 1 1/2 vantail; panneau d'observation; âme pleine/verre; peinture,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,MGFP-002,FLOWMETER: medical air,CAUDALÍMETRO: aire medicinal,DÉBITMÈTRE : air médical,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,DWWD-007,BLIND: venetian; integral,CIEGO: veneciano; integral,AVEUGLE : vénitien; intégral,2
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIHR-019,BRACKET: for suction bottle,SOPORTE: para botella de succión,SUPPORT : pour bouteille d'aspiration,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FQBS-030,CHAIR: visitor; patient,SILLA: visitante; paciente,CHAISE : visiteur; patient,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIDI-001,DISPENSER: alcohol based hand rub,DISPENSADOR: desinfectante de manos a base de alcohol,DISTRIBUTEUR : désinfectant pour les mains à base d'alcool,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIRT-025,TRACK: curtain; bedscreen; U shaped,PISTA: cortina; mampara; en forma de U,PISTE : rideau; paravent; en U,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FQGE-009,CURTAIN: bed screen,CORTINA: biombo de cama,RIDEAU : paravent,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FQSN-007,BIN: storage bins; wire mesh; stainless steel,BIN: contenedores de almacenamiento; malla de alambre; acero inoxidable,BIN : bacs de rangement; grillage; acier inoxydable,3
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FQCW-016,BIN: waste; general; 20L,CUBO: basura; general; 20L,BAC : déchets; général; 20L,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIHR-004,BRACKET: for display screen; ceiling mounted,SOPORTE: para pantalla; montaje en techo,SUPPORT : pour écran d'affichage; montage au plafond,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,DWWD-013,WINDOW DRESSING: external window,REVESTIMIENTO DE VENTANAS: ventana exterior,HABILLAGE DE FENÊTRE : fenêtre extérieure,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIDI-014,DISPENSER: disposable glove,DISPENSADOR: guante desechable,DISTRIBUTEUR : gant jetable,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIDI-022,DISPENSER: moisturiser,DISPENSADOR: crema hidratante,DISTRIBUTEUR : hydratant,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIDI-025,DISPENSER: paper/hand towel,DISPENSADOR: papel / toalla de mano,DISTRIBUTEUR : papier/essuie-mains,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIDI-030,DISPENSER: soap,DISPENSADOR: jabón,DISTRIBUTEUR : savon,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIDI-031,DISPENSER: soap antiseptic,DISPENSADOR: jabón antiséptico,DISTRIBUTEUR : savon antiseptique,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIHR-033,PANEL: for storage bins; wall mount,PANEL: para contenedores de almacenamiento; montaje en pared,PANNEAU : pour bacs de rangement; fixation murale,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FQTA-013,TABLE: overbed,MESA: sobrecama,TABLE : sur-lit,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,MGFP-004,FLOWMETER: oxygen,CAUDALIMETRO: oxigeno,DÉBITMÈTRE : oxygène,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,MMGE-002,ADAPTER: suction,ADAPTADOR: succión,ADAPTATEUR : aspiration,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,MMGE-100,SUCTION BOTTLE,BOTELLA DE SUCCION,BOUTEILLE D'ASPIRATION,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,FIBM-019,WHITEBOARD: fixed; magnetic,PIZARRA: fija; magnética,TABLEAU BLANC : fixe; magnétique,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,HYBA-010,BASIN: handwash; Type B,LAVABO: lavado a mano; Tipo B,VASQUE : lave-mains; Type B,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,HYTP-037,TAPWARE: mixer; elbow levers,GRIFERÍA: mezclador; palancas de codo,ROBINETTERIE : mélangeur; leviers coudés,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,ITBU-012,DISPLAY SCREEN: patient entertainment system,PANTALLA DE VISUALIZACIÓN: sistema de entretenimiento del paciente,ÉCRAN D'AFFICHAGE : système de divertissement pour les patients,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,MMBE-010,BED: patient; electric with mattress,CAMA: paciente; eléctrica con colchón,LIT : patient; électrique avec matelas,1
1BR-H-12,1 Bed Room - Holding; 12m2,FFE,LIFX-013,LIGHT: procedure; ceiling mounted; small,LUZ: procedimiento; montaje en techo; pequeña,LUMIÈRE : procédure; montée au plafond; petite,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ITIN-070,OUTLET: MATV,SALIDA: MATV,SORTIE : MATV,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,LIFX-032,LIGHT: downlight; examination; ceiling mounted,LUZ: downlight; examen; montaje en techo,LUMIÈRE : downlight; examen; montage au plafond,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ELGP-101,GPO: single; ceiling mounted,GPO: simple; montado en el techo,GPO : simple; monté au plafond,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ITCL-008,BUTTON: nurse call; staff assist,BOTÓN: llamada a la enfermera; ayuda del personal,BOUTON : appel infirmière; assistance du personnel,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,LIFX-011,LIGHT: reading light,LUZ: luz de lectura,LIGHT : liseuse,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,LIFX-017,LIGHT: night light,LUZ: luz de noche,LUMIÈRE : veilleuse,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ELBO-015,SWITCH: light; single,INTERRUPTOR: ligero; sencillo,COMMUTATEUR : léger; simple,3
1BR-H-12,1 Bed Room - Holding; 12m2,SE,MGAS-042,OUTLET: oxygen (O2); on services panel,SALIDA: oxígeno (O2); en panel de servicios,SORTIE : oxygène (O2); sur panneau de services,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,MGAS-022,OUTLET: medical air (MA); on services panel,SALIDA: aire medicinal (MA); en panel de servicios,SORTIE : air médical (MA); sur panneau de services,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,MGAS-062,OUTLET: suction; on services panel,SALIDA: aspiración; en panel de servicios,SORTIE : aspiration; sur panneau de services,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ITCL-006,BUTTON: nurse call; patient to staff,BOTÓN: llamada de enfermera; paciente al personal,BOUTON : appel infirmière; patient au personnel,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ITCL-028,HANDSET: nurse call; with patient to staff call button,AURICULAR: llamada de enfermera; con botón de llamada del paciente al personal,COMBINÉ : appel infirmière; avec bouton d'appel du patient au personnel,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ITCL-004,BUTTON: nurse call; emergency,BOTÓN: llamada de enfermera; emergencia,BOUTON : appel infirmière; urgence,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ELGP-208,GPO: double; wall mounted,GPO: doble; montado en la pared,GPO : double; fixé au mur,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ELGP-206,GPO: double; on services panel; RCD protected,GPO: doble; en panel de servicios; protegido por RCD,GPO : double; sur panneau de services; RCD protégé,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,MMSP-026,SERVICES PANEL: wall mounted,PANEL DE SERVICIOS: de pared,PANNEAU DE SERVICES : mural,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ITIN-025,OUTLET: data; double RJ45; on services panel,SALIDA: datos; doble RJ45; en panel de servicios,SORTIE : données; double RJ45; sur panneau de services,1
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ELGP-105,GPO: single; on services panel,GPO: único; en el panel de servicios,GPO : unique; sur le panneau des services,4
1BR-H-12,1 Bed Room - Holding; 12m2,SE,ELGP-122,GPO: emergency power; single; on services panel,GPO: energía de emergencia; única; en el panel de servicios,GPO : alimentation de secours; simple; sur panneau de services,4
1BR-IC,1 Bed Room - Intensive Care,FA,FLVY-007,FLOOR FINISH: vinyl; seamless; coved; standard slip resistant,ACABADO DEL PISO: vinilo; sin costuras; cóncavo; estándar antideslizante,FINITION DU SOL : vinyle; sans couture; à gorge; antidérapant standard,1
1BR-IC,1 Bed Room - Intensive Care,FA,FLSK-010,SKIRTING: vinyl; floor vinyl coved; 150H; prefinished,RODAPIÉS: vinilo; suelo vinílico cóncavo; 150H; preacabado,PLINTHE : vinyle; revêtement de sol en vinyle; 150H; préfini,6
1BR-IC,1 Bed Room - Intensive Care,FA,WLWA-004,WALL FINISH: paint; acrylic; washable,ACABADO DE PARED: pintura; acrílico; lavable,FINITION MURALE : peinture; acrylique; lavable,5
1BR-IC,1 Bed Room - Intensive Care,FA,WLWA-010,WALL FINISH: splashback; vinyl,ACABADO DE PARED: salpicadero; vinilo,FINITION MURALE : crédence; vinyle,1
1BR-IC,1 Bed Room - Intensive Care,FA,WLPR-012,WALL PROTECTION: corner guards; to 900 AFFL; prefinished PVC,PROTECCIÓN DE PARED: cantoneras; hasta 900 AFFL; PVC preacabado,PROTECTION MURALE : cornières de protection; jusqu'à 900 AFFL; PVC préfini,1
1BR-IC,1 Bed Room - Intensive Care,FA,CLFS-006,CEILING: plasterboard; flush set; suspended; paint; washable,TECHO: cartón-yeso; empotrado; suspendido; pintado; lavable,PLAFOND : plaques de plâtre; encastré; suspendu; peinture; lavable,1
1BR-IC,1 Bed Room - Intensive Care,FA,DWWH-005,WINDOW,VENTANA,LA FENÊTRE,1
1BR-IC,1 Bed Room - Intensive Care,FA,DWGL-002,DOOR: 910mm c/o; single leaf; half glazed; solid core/glass; paint,PUERTA: 910 mm c / o; una hoja; medio vidriado; núcleo sólido / vidrio; pintura,PORTE : 910 mm c/o; un vantail; semi-vitrée; âme pleine/verre; peinture,1
1BR-IC,1 Bed Room - Intensive Care,FA,DWSC-012,DOOR: 1200mm c/o; 1 1/2 leaf; solid core; paint,PUERTA: 1200 mm c / o; 1 1/2 hoja; núcleo macizo; pintura,PORTE : 1200mm c/o; 1 1/2 vantail; âme pleine; peinture,1
1BR-IC,1 Bed Room - Intensive Care,FA,DWGL-071,DOOR: triple leaf; sliding; fully glazed; alum/safety glass; powdercoat/paint,PUERTA: triple hoja; corredera; totalmente acristalada; alumbre / vidrio de seguridad; pintura en polvo / pintura,PORTE : triple vantail; coulissante; entièrement vitrée; alun/verre de sécurité; revêtement en poudre/peinture,1
1BR-IC,1 Bed Room - Intensive Care,FA,DWOB-006,OBSERVATION: internal window; alum/safety glass; double glazed; integral venetian blind; powdercoat,OBSERVACIÓN: ventana interior; alumbre / vidrio de seguridad; doble acristalamiento; persiana veneciana integral; pintura en polvo,OBSERVATION : fenêtre intérieure; alun/verre de sécurité; double vitrage; store vénitien intégré; revêtement poudré,1
1BR-IC,1 Bed Room - Intensive Care,FA,CLCN-008,CORNICE: square set flush between wall and ceiling; paint,CORNISA: encastre cuadrado a ras entre pared y techo; pintar,CORNICHE : équerre encastrée entre mur et plafond; peinture,1
1BR-IC,1 Bed Room - Intensive Care,FA,WLWA-025,WALL FINISH: vinyl; to 1200 AFFL,ACABADO DE PARED: vinilo; hasta 1200 AFFL,FINITION MURALE : vinyle; jusqu'à 1200 AFFL,11
1BR-IC,1 Bed Room - Intensive Care,FFE,MGFP-002,FLOWMETER: medical air,CAUDALÍMETRO: aire medicinal,DÉBITMÈTRE : air médical,3
1BR-IC,1 Bed Room - Intensive Care,FFE,DWWD-007,BLIND: venetian; integral,CIEGO: veneciano; integral,AVEUGLE : vénitien; intégral,4
