item_type,item_code,item_name_en,item_name_es,item_name_fr
FFE,DWGE-012,GATE & SCREEN: child proof,PUERTA Y PANTALLA: a prueba de niños,GATE & SCREEN : sécurité enfant
FFE,DWGE-013,"GATE: single leaf, steel, prefinished","PUERTA: hoja simple, acero, preacabada","PORTAIL : un vantail, en acier, préfini"
FA,DWGE-016,DOOR: frame only,PUERTA: solo marco,PORTE : cadre seul
FA,DWGL-002,"DOOR: 910mm c/o, single leaf, half glazed, solid core/glass, paint","PUERTA: 910 mm c / o, una hoja, medio vidriado, núcleo sólido / vidrio, pintura","PORTE : 910 mm c/o, un vantail, semi-vitrée, âme pleine/verre, peinture"
FA,DWGL-003,"DOOR: 910mm c/o, single leaf, half glazed, solid core/safety glass, paint","PUERTA: 910 mm c/a, hoja simple, semividriada, núcleo macizo/vidrio de seguridad, pintura","PORTE : 910 mm c/o, simple vantail, semi-vitrée, âme pleine/verre de sécurité, peinture"
FA,DWGL-005,"DOOR: 910mm c/o, single leaf, observation panel, solid core/glass, paint","PUERTA: 910 mm c/o, hoja simple, panel de observación, núcleo sólido/vidrio, pintura","PORTE : 910 mm c/o, un vantail, panneau d'observation, âme pleine/verre, peinture"
FA,DWGL-006,"DOOR: 910mm c/o, single leaf, observation panel, solid core/lead glass, lead shielding, paint","PUERTA: 910 mm c / o, hoja única, panel de observación, núcleo sólido / vidrio de plomo, blindaje de plomo, pintura","PORTE : 910 mm c/o, un vantail, panneau d'observation, âme pleine/verre au plomb, blindage au plomb, peinture"
FA,DWGL-007,"DOOR: 910mm c/o, single leaf, observation panel, solid core/safety glass, paint","PUERTA: 910 mm c / o, hoja simple, panel de observación, núcleo sólido / vidrio de seguridad, pintura","PORTE : 910 mm c/o, un vantail, panneau d'observation, âme pleine/verre de sécurité, peinture"
FA,DWGL-011,"DOOR: 950mm c/o, single leaf, observation panel, solid core/glass, paint","PUERTA: 950 mm c/o, hoja simple, panel de observación, núcleo macizo/vidrio, pintura","PORTE : 950 mm c/o, un vantail, panneau d'observation, âme pleine/verre, peinture"
FA,DWGL-020,"DOOR: 1100mm c/o, single leaf, observation panel, solid core/glass, paint","PUERTA: 1100 mm c/o, hoja simple, panel de observación, núcleo sólido/vidrio, pintura","PORTE : 1100 mm c/o, un vantail, panneau d'observation, âme pleine/verre, peinture"
FA,DWGL-030,"DOOR: 1400mm c/o, 1 1/2 leaf, fully glazed, alum/safety glass, powdercoat/paint","PUERTA: 1400 mm c / o, 1 1/2 hoja, totalmente acristalado, alumbre / vidrio de seguridad, pintura en polvo / pintura","PORTE : 1400 mm c/o, 1 1/2 vantail, entièrement vitrée, alun/verre de sécurité, revêtement en poudre/peinture"
FA,DWGL-031,"DOOR: 1400mm c/o, 1 1/2 leaf, half glazed, solid core/glass, paint","PUERTA: 1400 mm c / o, 1 1/2 hoja, medio vidriado, núcleo sólido / vidrio, pintura","PORTE : 1400 mm c/o, 1 1/2 vantail, semi-vitrée, âme pleine/verre, peinture"
FA,DWGL-032,"DOOR: 1400mm c/o, 1 1/2 leaf, half glazed, solid core/safety glass, paint","PUERTA: 1400mm c/a, 1 1/2 hoja, semividriada, alma maciza/vidrio de seguridad, pintura","PORTE : 1400 mm c/o, 1 1/2 vantail, semi-vitrée, âme pleine/verre de sécurité, peinture"
FA,DWGL-033,"DOOR: 1400mm c/o, 1 1/2 leaf, observation panel, solid core/glass, paint","PUERTA: 1400 mm c / o, 1 1/2 hoja, panel de observación, núcleo sólido / vidrio, pintura","PORTE : 1400 mm c/o, 1 1/2 vantail, panneau d'observation, âme pleine/verre, peinture"
FA,DWGL-040,"DOOR: 1500mm c/o ,1 1/2 leaf, fully glazed, alum/safety glass, powdercoat/paint","PUERTA: 1500 mm c/o, 1 1/2 hoja, completamente vidriada, alumbre/vidrio de seguridad, pintura en polvo/pintura","PORTE : 1500 mm c/o, 1 1/2 feuille, entièrement vitrée, alun/verre de sécurité, revêtement en poudre/peinture"
FA,DWGL-041,"DOOR: 1500mm c/o, 1 1/2 leaf, half glazed, solid core/glass, paint","PUERTA: 1500mm c/o, 1 1/2 hoja, semividriada, macizo/vidrio, pintura","PORTE : 1500 mm c/o, 1 1/2 vantail, semi-vitrée, âme pleine/verre, peinture"
FA,DWGL-050,"DOOR: 1600mm c/o, double leaf, fully glazed, alum/safety glass, powdercoat/paint","PUERTA: 1600 mm c/o, doble hoja, totalmente vidriada, alumbre/vidrio de seguridad, pintura en polvo/pintura","PORTE : 1600 mm c/o, double vantail, entièrement vitrée, alun/verre de sécurité, revêtement en poudre/peinture"
FA,DWGL-051,"DOOR: 1600mm c/o, double leaf, observation panel, solid core/glass, paint","PUERTA: 1600 mm c/o, doble hoja, panel de observación, núcleo macizo/vidrio, pintura","PORTE : 1600 mm c/o, double vantail, panneau d'observation, âme pleine/verre, peinture"
FA,DWGL-052,"DOOR: 1600mm c/o, double leaf, observation panel, solid core/glass, paint","PUERTA: 1600 mm c/o, doble hoja, panel de observación, núcleo macizo/vidrio, pintura","PORTE : 1600 mm c/o, double vantail, panneau d'observation, âme pleine/verre, peinture"
FA,DWGL-053,"DOOR: 1600mm c/o, double leaf, sliding, observation panel, solid core/glass, paint","PUERTA: 1600 mm c / o, doble hoja, corredera, panel de observación, núcleo sólido / vidrio, pintura","PORTE : 1600 mm c/o, double vantail, coulissante, panneau d'observation, âme pleine/verre, peinture"
FA,DWGL-071,"DOOR: triple leaf, sliding, fully glazed, alum/safety glass, powdercoat/paint","PUERTA: triple hoja, corredera, totalmente acristalada, alumbre / vidrio de seguridad, pintura en polvo / pintura","PORTE : triple vantail, coulissante, entièrement vitrée, alun/verre de sécurité, revêtement en poudre/peinture"
FA,DWGL-074,"DOOR: 1120mm c/o, 1 1/2 leaf in/out opening, observation panel, solid core/safety glass, paint","PUERTA: 1120 mm c / o, apertura de entrada / salida de 1 1/2 hoja, panel de observación, núcleo sólido / vidrio de seguridad, pintura","PORTE : 1120 mm c/o, ouverture 1 1/2 vantail in/out, panneau d'observation, âme pleine/verre de sécurité, peinture"
FA,DWGL-075,"DOOR: 1270mm c/o, single leaf, observation panel, solid core/safety glass, paint","PUERTA: 1270 mm c / o, hoja simple, panel de observación, núcleo sólido / vidrio de seguridad, pintura","PORTE : 1270 mm c/o, un vantail, panneau d'observation, âme pleine/verre de sécurité, peinture"
FA,DWGL-076,"DOOR: 1600mm c/o, 1 1/2 leaf, observation panel, solid core/glass, paint","PUERTA: 1600 mm c / o, 1 1/2 hoja, panel de observación, núcleo sólido / vidrio, pintura","PORTE : 1600 mm c/o, 1 1/2 vantail, panneau d'observation, âme pleine/verre, peinture"
FA,DWGL-077,"DOOR: 850mm c/o, single leaf, observation panel, solid core/glass, paint","PUERTA: 850 mm c / o, hoja única, panel de observación, núcleo sólido / vidrio, pintura","PORTE : 850 mm c/o, un vantail, panneau d'observation, âme pleine/verre, peinture"
FA,DWOB-001,OBSERVATION: internal window,OBSERVACIÓN: ventana interna,OBSERVATION : fenêtre interne
FA,DWOB-002,"OBSERVATION: internal window, alum/glass, door height, powdercoat","OBSERVACIÓN: ventana interna, alumbre/vidrio, altura de la puerta, pintura en polvo","OBSERVATION : fenêtre intérieure, alun/verre, hauteur de porte, revêtement poudré"
FA,DWOB-003,"OBSERVATION: internal window, alum/glass, double glazed, integral venetian blind, powdercoat","OBSERVACIÓN: ventana interior, alumbre / vidrio, doble acristalamiento, persiana veneciana integral, pintura en polvo","OBSERVATION : fenêtre intérieure, alun/verre, double vitrage, store vénitien intégral, revêtement poudré"
FA,DWOB-004,"OBSERVATION: internal window, alum/glass, internal blinds, powdercoat","OBSERVACIÓN: ventana interna, alumbre/vidrio, persianas internas, pintura en polvo","OBSERVATION : fenêtre intérieure, alun/verre, stores intérieurs, revêtement poudré"
FA,DWOB-005,"OBSERVATION: internal window, alum/glass, powdercoat","OBSERVACIÓN: ventana interna, alumbre / vidrio, pintura en polvo","OBSERVATION : fenêtre intérieure, alun/verre, revêtement poudré"
FA,DWOB-006,"OBSERVATION: internal window, alum/safety glass, double glazed, integral venetian blind, powdercoat","OBSERVACIÓN: ventana interior, alumbre / vidrio de seguridad, doble acristalamiento, persiana veneciana integral, pintura en polvo","OBSERVATION : fenêtre intérieure, alun/verre de sécurité, double vitrage, store vénitien intégré, revêtement poudré"
FA,DWOB-007,"OBSERVATION: internal window, alum/safety glass, powdercoat/paint","OBSERVACIÓN: ventana interior, alumbre / vidrio de seguridad, pintura en polvo / pintura","OBSERVATION : fenêtre intérieure, alun/verre de sécurité, revêtement en poudre/peinture"
FA,DWOB-009,"OBSERVATION: internal window, lead glass, clear","OBSERVACIÓN: ventana interna, vidrio plomado, transparente","OBSERVATION : fenêtre intérieure, verre au plomb, clair"
FA,DWOB-010,"OBSERVATION: through door/s, glass, clear","OBSERVACIÓN: a través de puerta (s), vidrio, transparente","OBSERVATION : traversant(s) porte(s), verre, clair"
FA,DWOB-015,"OBSERVATION: internal window, alum/safety glass, c/w document and speaking slots","OBSERVACIÓN: ventana interna, alumbre / vidrio de seguridad, c / w espacio para documentos y para hablar","OBSERVATION : fenêtre interne, alun/verre de sécurité, c/w document et fentes de parole"
FA,DWOB-016,"OBSERVATION: internal window, alum/safety glass, one way, powdercoat","OBSERVACIÓN: ventana interna, alumbre/vidrio de seguridad, unidireccional, pintura en polvo","OBSERVATION : fenêtre intérieure, alun/verre de sécurité, unidirectionnel, revêtement poudré"
FA,DWPR-001,"DOOR PROTECTION: kickplate, to 300 AFFL","PROTECCIÓN DE LA PUERTA: rodapié, hasta 300 AFFL","PROTECTION DE PORTE : coup de pied, jusqu'à 300 AFFL"
FA,DWPR-003,"DOOR PROTECTION: kickplate, to 300 AFFL, vinyl, prefinished","PROTECCIÓN DE PUERTAS: rodapié, hasta 300 AFFL, vinilo, preacabado","PROTECTION DE PORTE : coup-de-pied, jusqu'à 300 AFFL, vinyle, préfini"
FA,DWPR-004,"DOOR PROTECTION: protection plate, to 1200 AFFL, PVC, prefinished","PROTECCIÓN DE LA PUERTA: placa de protección, hasta 1200 AFFL, PVC, preacabada","PROTECTION DE PORTE : plaque de protection, jusqu'à 1200 AFFL, PVC, préfini"
FA,DWPR-005,DOOR PROTECTION: protection plate to 900 AFFL,PROTECCIÓN DE LA PUERTA: placa de protección hasta 900 AFFL,PROTECTION DE PORTE : plaque de protection à 900 AFFL
FA,DWPR-006,"DOOR PROTECTION: protection plate, to 900 AFFL, PVC, prefinished","PROTECCIÓN DE LA PUERTA: placa de protección, hasta 900 AFFL, PVC, preacabado","PROTECTION DE PORTE : plaque de protection, à 900 AFFL, PVC, préfini"
FA,DWPR-010,"DOOR PROTECTION: to door frame, PVC, prefinished","PROTECCIÓN DE LA PUERTA: al marco de la puerta, PVC, preacabado","PROTECTION DE LA PORTE : jusqu'au cadre de la porte, PVC, préfini"
FA,DWPR-011,"DOOR PROTECTION: protection plate, to full height","PROTECCIÓN DE LA PUERTA: placa de protección, a altura máxima","PROTECTION DE PORTE : plaque de protection, sur toute la hauteur"
FA,DWSC-001,"DOOR: 850mm c/o, single leaf, solid core, paint","PUERTA: 850 mm c / o, hoja simple, núcleo macizo, pintura","PORTE : 850 mm c/o, un vantail, âme pleine, peinture"
FA,DWSC-003,"DOOR: 910mm c/o, single leaf, solid core, paint","PUERTA: 910 mm c / o, hoja simple, núcleo macizo, pintura","PORTE : 910 mm c/o, un vantail, âme pleine, peinture"
FA,DWSC-004,"DOOR: 850mm c/o, 180 deg swing, single leaf, solid core, paint","PUERTA: 850 mm c/o, giro de 180 grados, hoja simple, núcleo sólido, pintura","PORTE : 850 mm c/o, pivotement à 180 degrés, un vantail, âme pleine, peinture"
FA,DWSC-005,"DOOR: 910mm c/o, single leaf, solid core, lead shielding, paint","PUERTA: 910 mm c/o, hoja simple, núcleo sólido, blindaje de plomo, pintura","PORTE : 910 mm c/o, un vantail, âme pleine, blindage plomb, peinture"
FA,DWSC-011,"DOOR: 1100mm c/o, single leaf, solid core, paint","PUERTA: 1100mm c/o, hoja simple, alma maciza, pintura","PORTE : 1100 mm c/o, un vantail, âme pleine, peinture"
FA,DWSC-012,"DOOR: 1200mm c/o, 1 1/2 leaf, solid core, paint","PUERTA: 1200 mm c / o, 1 1/2 hoja, núcleo macizo, pintura","PORTE : 1200mm c/o, 1 1/2 vantail, âme pleine, peinture"
FA,DWSC-013,"DOOR: 1200mm c/o, single leaf, solid core, paint","PUERTA: 1200mm c/o, hoja simple, alma maciza, pintura","PORTE : 1200 mm c/o, un vantail, âme pleine, peinture"
FA,DWSC-021,"DOOR: 1400mm c/o, 1 1/2 leaf, solid core, paint","PUERTA: 1400mm c / o, 1 1/2 hoja, núcleo macizo, pintura","PORTE : 1400mm c/o, 1 1/2 vantail, âme pleine, peinture"
FA,DWSC-027,"DOOR: 1600mm c/o, 1 1/2 leaf, solid core, paint","PUERTA: 1600mm c/a, 1 1/2 hoja, alma maciza, pintura","PORTE : 1600mm c/o, 1 1/2 vantail, âme pleine, peinture"
FA,DWSC-033,"DOOR: 1800mm c/o, double leaf, solid core, paint","PUERTA: 1800mm c/a, doble hoja, macizo, pintura","PORTE : 1800mm c/o, double vantail, âme pleine, peinture"
FA,DWSC-034,"DOOR: 1800mm c/o, double leaf, solid core, lead shielding, paint","PUERTA: 1800 mm c / o, doble hoja, núcleo sólido, blindaje de plomo, pintura","PORTE : 1800 mm c/o, double vantail, âme pleine, blindage plomb, peinture"
FA,DWSC-050,"DOOR: double leaf, solid core, paint, 180 deg","PUERTA: doble hoja, núcleo sólido, pintura, 180 grados","PORTE : double vantail, âme pleine, peinture, 180 degrés"
FFE,DWWD-001,BLIND: blackout,CIEGO: apagón,AVEUGLE : panne d'électricité
FFE,DWWD-002,BLIND: holland,CIEGO: Holanda,AVEUGLE : hollande
FFE,DWWD-003,BLIND: integral,CIEGO: integral,AVEUGLE : intégral
FFE,DWWD-004,BLIND: roller,CIEGO: rodillo,AVEUGLE : rouleau
FFE,DWWD-006,BLIND: venetian,CIEGO: veneciano,AVEUGLE : vénitien
FFE,DWWD-007,"BLIND: venetian, integral","CIEGO: veneciano, integral","AVEUGLE : vénitien, intégral"
SE,DWWD-010,"CONTROL: venetian blind, remote","CONTROL: persiana veneciana, remoto","COMMANDE : store vénitien, télécommande"
FFE,DWWD-011,"CURTAIN: window, drapes","CORTINA: ventana, cortinas","RIDEAU : fenêtre, rideaux"
FFE,DWWD-013,WINDOW DRESSING: external window,REVESTIMIENTO DE VENTANAS: ventana exterior,HABILLAGE DE FENÊTRE : fenêtre extérieure
FFE,DWWD-014,"WINDOW DRESSING: external window, blackout","REVESTIMIENTO DE VENTANAS: ventana exterior, oscurecimiento","HABILLAGE DE FENÊTRE : fenêtre extérieure, occultant"
FFE,DWWH-004,"SHUTTER: roller, manual","OBTURADOR: rodillo, manual","OBTURATEUR: rouleau, manuel"
FA,DWWH-005,WINDOW,VENTANA,LA FENÊTRE
FFE,DWWH-007,"SHUTTER: for observation panel, magnetic flap for laser protection","OBTURADOR: para panel de observación, aleta magnética para protección láser","OBTURATEUR : pour panneau d'observation, volet magnétique pour protection laser"
SE,ELBO-001,BUTTON: emergency stop,BOTÓN: parada de emergencia,BOUTON : arrêt d'urgence
SE,ELBO-003,CONTROL PANEL: lighting,PANEL DE CONTROL: iluminación,PANNEAU DE COMMANDE : éclairage
FFE,ELBO-004,DISTRIBUTION BOARD,CUADRO DE DISTRIBUCIÓN,TABLEAU DE DISTRIBUTION
SE,ELBO-005,EQUIPOTENTIAL JUNCTION BOX,CAJA DE CONEXIONES EQUIPOTENCIALES,BOÎTE DE JONCTION ÉQUIPOTENTIELLE
SE,ELBO-007,SWITCH: emergency isolation,INTERRUPTOR: aislamiento de emergencia,INTERRUPTEUR : isolation d'urgence
SE,ELBO-009,SWITCH: Laser in use,INTERRUPTOR: láser en uso,COMMUTATEUR : laser en cours d'utilisation
SE,ELBO-010,"SWITCH: light, 2-way","INTERRUPTOR: luz, 2 vías","COMMUTATEUR : léger, 2 voies"
SE,ELBO-012,"SWITCH: light, dimmer","INTERRUPTOR: luz, atenuador","COMMUTATEUR : lumière, gradateur"
SE,ELBO-015,"SWITCH: light, single","INTERRUPTOR: ligero, sencillo","COMMUTATEUR : léger, simple"
SE,ELBO-016,SWITCH: X-Ray in use,INTERRUPTOR: Rayos X en uso,COMMUTATEUR : rayons X en cours d'utilisation
SE,ELBO-018,"BUTTON: security, perimeter lockdown","BOTÓN: seguridad, cierre perimetral","BOUTON : sécurité, verrouillage du périmètre"
SE,ELBO-019,BUTTON: last person out,BOTÓN: última persona en salir,BOUTON : dernière personne sortie
SE,ELGE-001,DIRECT CONNECTION: power,CONEXIÓN DIRECTA: potencia,CONNEXION DIRECTE : alimentation
SE,ELGE-004,"DIRECT CONNECTION: power, emergency","CONEXIÓN DIRECTA: energía, emergencia","CONNEXION DIRECTE : alimentation, secours"
SE,ELGP-101,"GPO: single, ceiling mounted","GPO: simple, montado en el techo","GPO : simple, monté au plafond"
SE,ELGP-105,"GPO: single, on services panel","GPO: único, en el panel de servicios","GPO : unique, sur le panneau des services"
SE,ELGP-106,"GPO: single, special, for equipment","GPO: individual, especial, para equipamiento","GPO : unique, spécial, pour équipement"
SE,ELGP-109,"GPO: single, wall mounted","GPO: individual, montado en la pared","GPO : simple, fixé au mur"
SE,ELGP-109.1,"GPO: single, wall mounted (V)","GPO: simple, montado en la pared (V)","GPO : simple, mural (V)"
SE,ELGP-110,"GPO: single, wall mounted, cleaner","GPO: simple, montado en la pared, limpiador","GPO : simple, mural, nettoyeur"
SE,ELGP-111,"GPO: single, wall mounted, RCD protected","GPO: simple, montado en la pared, protegido por RCD","GPO : simple, fixé au mur, protégé par RCD"
SE,ELGP-113,"GPO: single, wall mounted, waterproof, RCD protected","GPO: simple, montado en la pared, impermeable, protegido por RCD","GPO : simple, mural, étanche, protégé par RCD"
SE,ELGP-121,"GPO: emergency power, single, on pendant","GPO: energía de emergencia, simple, en colgante","GPO : alimentation de secours, simple, sur pendentif"
SE,ELGP-122,"GPO: emergency power, single, on services panel","GPO: energía de emergencia, única, en el panel de servicios","GPO : alimentation de secours, simple, sur panneau de services"
SE,ELGP-123,"GPO: emergency power, single, wall mounted","GPO: energía de emergencia, simple, montado en la pared","GPO : alimentation de secours, simple, murale"
SE,ELGP-123.1,"GPO: emergency power, single, wall mounted (V)","GPO: energía de emergencia, simple, montado en la pared (V)","GPO : alimentation de secours, simple, murale (V)"
SE,ELGP-125,"GPO: emergency power, single, ceiling mounted","GPO: energía de emergencia, simple, montado en el techo","GPO : alimentation de secours, simple, montée au plafond"
SE,ELGP-130,"GPO: UPS, single","GPO: UPS, individual","Objet de stratégie de groupe : UPS, simple"
SE,ELGP-132,"GPO: UPS, single, on pendant","GPO: UPS, individual, colgante","GPO : UPS, simple, sur pendentif"
SE,ELGP-133,"GPO: UPS, single, on services panel","GPO: UPS, individual, en el panel de servicios","GPO : UPS, simple, sur le panneau de services"
SE,ELGP-135,"GPO: UPS, single, wall mounted","GPO: UPS, simple, montado en la pared","GPO : UPS, simple, fixé au mur"
SE,ELGP-140,"GPO: three phase, single","GPO: trifásico, único","GPO : triphasé, simple"
SE,ELGP-203,"GPO: double, in floorbox","GPO: doble, en caja de piso","GPO : double, dans le boîtier de sol"
SE,ELGP-205,"GPO: double, on services panel","GPO: doble, en el panel de servicios","GPO : double, sur le panneau des services"
SE,ELGP-206,"GPO: double, on services panel, RCD protected","GPO: doble, en panel de servicios, protegido por RCD","GPO : double, sur panneau de services, RCD protégé"
SE,ELGP-208,"GPO: double, wall mounted","GPO: doble, montado en la pared","GPO : double, fixé au mur"
SE,ELGP-208.1,"GPO: double, wall mounted (V)","GPO: doble, montado en la pared (V)","GPO : double, mural (V)"
SE,ELGP-209,"GPO: double, wall mounted, RCD protected","GPO: doble, montado en la pared, protegido por RCD","GPO : double, fixé au mur, protégé par RCD"
SE,ELGP-212,"GPO: double, desk box","GPO: doble, caja de escritorio","GPO : double, boîte de bureau"
SE,ELGP-220.1,"GPO: emergency power, double (V)","GPO: energía de emergencia, doble (V)","GPO : alimentation de secours, double (V)"
SE,ELGP-222,"GPO: emergency power, double, on services panel","GPO: energía de emergencia, doble, en el panel de servicios","GPO : alimentation de secours, double, sur panneau de services"
SE,ELGP-223,"GPO: emergency power, double, wall mounted","GPO: energía de emergencia, doble, montaje en pared","GPO : alimentation de secours, double, murale"
SE,ELGP-223.1,"GPO: emergency power, double, wall mounted (V)","GPO: energía de emergencia, doble, montado en la pared (V)","GPO : alimentation de secours, double, murale (V)"
SE,ELGP-224,"GPO: emergency power, double, desk box","GPO: energía de emergencia, doble, caja de escritorio","GPO : alimentation de secours, double, boîtier de bureau"
SE,ELGP-225,"GPO: emergency power, double, in floorbox","GPO: alimentación de emergencia, doble, en caja de suelo","GPO : alimentation de secours, double, dans le boîtier de sol"
SE,ELGP-235,"GPO: UPS, double, wall mounted","GPO: UPS, doble, montado en la pared","GPO : UPS, double, fixé au mur"
SE,ELGP-240,"GPO: three phase, double","GPO: trifásico, doble","GPO : triphasé, double"
SE,ELGT-007,UPS: uninterruptable power supply unit,UPS: fuente de alimentación ininterrumpida,UPS : bloc d'alimentation sans coupure
SE,ELPR-001,BODY PROTECTED ELECTRICAL AREA,ZONA ELÉCTRICA PROTEGIDA POR EL CUERPO,ZONE ÉLECTRIQUE PROTÉGÉE DU CORPS
SE,ELPR-003,"ISOLATOR: electrical, 1ph+n","AISLADOR: eléctrico, 1ph+n","ISOLATEUR : électrique, 1ph+n"
SE,ELPR-004,MONITOR: line isolation,MONITOR: aislamiento de línea,MONITEUR : isolation de ligne
SE,ELPR-006,RCD: residual current device,RCD: dispositivo de corriente residual,RCD : dispositif de courant résiduel
SE,ELPR-007,UPS: status indicator,UPS: indicador de estado,UPS : indicateur d'état
FFE,FIBM-001,BLACKBOARD: fixed,PIZARRA: fija,TABLEAU NOIR : fixe
FFE,FIBM-004,"MIRROR: fixed, convex, tamper proof, anti ligature","ESPEJO: fijo, convexo, a prueba de manipulaciones, antiligadura","MIROIR : fixe, convexe, inviolable, anti-ligature"
FFE,FIBM-005,"MIRROR: fixed, glass, 1200H nom.","ESPEJO: fijo, vidrio, 1200H nom.","MIROIR : fixe, verre, 1200H nom."
FFE,FIBM-006,"MIRROR: fixed, glass","ESPEJO: fijo, vidrio","MIROIR : fixe, en verre"
FFE,FIBM-007,"MIRROR: fixed, glass, full length","ESPEJO: fijo, de vidrio, de cuerpo entero","MIROIR : fixe, en verre, sur toute la longueur"
FFE,FIBM-010,"MIRROR: fixed, safety glass, full length","ESPEJO: fijo, vidrio de seguridad, largo completo","MIROIR : fixe, verre de sécurité, pleine longueur"
FFE,FIBM-013,"NOTICEBOARD: fixed, fabric covered","TABLERO DE ANUNCIOS: fijo, cubierto de tela","TABLEAU D'AFFICHAGE : fixe, recouvert de tissu"
FFE,FIBM-015,"NOTICEBOARD: fixed, velcro","TABLERO DE AVISOS: fijo, velcro","TABLEAU D'AFFICHAGE : fixe, velcro"
FFE,FIBM-016,"NOTICEBOARD/WHITEBOARD: fixed, combined unit",PIZARRA / PIZARRA BLANCA: unidad combinada fija,TABLEAU D'AFFICHAGE/TABLEAU BLANC : unité combinée fixe
FFE,FIBM-018,WHITEBOARD: fixed,PIZARRA BLANCA: fija,TABLEAU BLANC : fixe
FFE,FIBM-019,"WHITEBOARD: fixed, magnetic","PIZARRA: fija, magnética","TABLEAU BLANC : fixe, magnétique"
FFE,FIBM-022,"MIRROR: fixed, safety glass, toughened and laminated, anti ligature","ESPEJO: fijo, vidrio de seguridad, templado y laminado, anti ligadura","MIROIR : fixe, verre de sécurité, trempé et feuilleté, anti ligature"
FFE,FIDI-001,DISPENSER: alcohol based hand rub,DISPENSADOR: desinfectante de manos a base de alcohol,DISTRIBUTEUR : désinfectant pour les mains à base d'alcool
FFE,FIDI-003,DISPENSER: bedroll,DISPENSADOR: saco de dormir,DISTRIBUTEUR : alèse
FFE,FIDI-006,DISPENSER: cleaning wipes,DISPENSADOR: toallitas limpiadoras,DISTRIBUTEUR : lingettes nettoyantes
FFE,FIDI-008,DISPENSER: detergent,DISPENSADOR: detergente,DISTRIBUTEUR : détergent
FFE,FIDI-010,DISPENSER: detergent/chemical mixer,DISPENSADOR: detergente / mezclador químico,DISTRIBUTEUR : mélangeur détergent/chimique
FFE,FIDI-014,DISPENSER: disposable glove,DISPENSADOR: guante desechable,DISTRIBUTEUR : gant jetable
FFE,FIDI-017,DISPENSER: goggles,DISPENSADOR: gafas,DISTRIBUTEUR : lunettes
FFE,FIDI-018,DISPENSER: gown,DISPENSADOR: bata,DISTRIBUTEUR : blouse
