proyecto,unidad,unidad_es,sub-unidad,sub_unidad_es,area,room,room_es,room_qty,room_sup,tipoA,tipoB,item,item_es,item_qty
base,DIAL,Dialisis,general,general,entrada,WAIT-20,,1,20,SE,EL,ELGP-208,GPO: doble montado en la pared,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FA,FL,FLCP-003,ACABADO DEL PISO: alfombra en rollo 48 oz. 90/10 lana/nylon,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FA,FL,FLSK-009,ZÓCALO: vinilo borde de pluma 150H preacabado,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FA,WL,WLWA-004,ACABADO DE PARED: pintura acrílico lavable,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FA,CL,CLTI-002,TECHO: acústico losetas empotradas 600 x 1200,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FA,CL,CLCN-002,CORNICE: aluminio ángulo de sombra de 24 mm pintura en polvo,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FA,DW,DWWH-005,VENTANA,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FA,DW,DWPR-003,PROTECCIÓN DE PUERTAS: rodapié hasta 300 AFFL vinilo preacabado,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FA,DW,DWSC-003,PUERTA: 910 mm c / o hoja simple núcleo macizo pintura,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FA,DW,DWGL-005,PUERTA: 910 mm c/o hoja simple panel de observación núcleo sólido/vidrio pintura,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,DW,DWWD-006,CIEGO: veneciano,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FQ,FQBS-017,SILLA: sala de reuniones,12
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FQ,FQGE-005,RELOJ: analógico funciona con pilas,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FI,FIJO-135,ARMARIO: bajo banco puerta doble estantes adj.,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FI,FIJO-140,ARMARIO: debajo del banco una puerta estantes ajustables,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FI,FIJO-145,ARMARIO: montaje en pared puerta doble estantes ajustables con cerradura,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FI,FIJO-156,ARMARIO: montaje en pared puerta simple estantes ajustables,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FQ,FQCW-016,CUBO: basura general 20L,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FI,FIBM-013,TABLERO DE ANUNCIOS: fijo cubierto de tela,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FQ,FQTA-017,MESA: rectangular 1200L x 900W altura de trabajo,2
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FI,FIBM-018,PIZARRA BLANCA: fija,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FQ,FQGE-069,PANTALLA: proyección montaje en techo automático,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,IT,ITNE-049,TELÉFONO: microteléfono escritorio,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,FI,FIJO-059,BANCO SUPERIOR: 600D carpintería debajo acabado laminado,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,FFE,IT,ITAV-026,PROYECTOR: datos montado en superficie,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,IT,ITIN-016,SALIDA: datos simple RJ45 montaje en pared,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,IT,ITIN-026,SALIDA: datos doble RJ45 montaje en pared,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,IT,ITIN-022,SALIDA: datos doble RJ45 en caja de suelo,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,IT,ITIN-070,SALIDA: MATV,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,IT,ITIN-143,FLOORBOX: para alimentación datos AV montaje empotrado,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,EL,ELBO-015,INTERRUPTOR: ligero sencillo,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,EL,ELGP-208,GPO: doble montado en la pared,3
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,EL,ELGP-110,GPO: simple montado en la pared limpiador,1
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,EL,ELGP-203,GPO: doble en caja de piso,2
base,DIAL,Dialisis,general,general,entrada,MEET-L-15,,1,15,SE,IT,ITSE-006,BOTÓN: coacción fijo,1
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,FA,FL,FLVY-007,ACABADO DEL PISO: vinilo sin costuras cóncavo estándar antideslizante,1
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,FA,FL,FLSK-010,RODAPIÉS: vinilo suelo vinílico cóncavo 150H preacabado,5
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,FA,WL,WLPR-006,PROTECCIÓN DE PARED: protectores de esquina,2
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,FA,WL,WLWA-004,ACABADO DE PARED: pintura acrílico lavable,3
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,FA,WL,WLWA-022,ACABADO DE PARED: vinilo hasta 900 AFFL,3
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,FA,CL,CLTI-008,TECHO: cartón yeso baldosas de encastre preacabado 600 x 1200,1
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,FA,CL,CLCN-009,CORNICE: fijación de molduras de pared,1
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,FFE,MM,MMGE-089,ESCALAS: electrónica silla,1
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,FFE,MM,MMGE-188,BALANZA: electrónica de pie con estadiómetro,1
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,SE,IT,ITIN-016,SALIDA: datos simple RJ45 montaje en pared,1
base,DIAL,Dialisis,general,general,áreas de tratamiento,BHW,,1,1,SE,EL,ELGP-208,GPO: doble montado en la pared,1
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,FA,FL,FLVY-007,ACABADO DEL PISO: vinilo sin costuras cóncavo estándar antideslizante,1
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,FA,FL,FLSK-010,RODAPIÉS: vinilo suelo vinílico cóncavo 150H preacabado,4
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,FA,WL,WLPR-006,PROTECCIÓN DE PARED: protectores de esquina,1
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,FA,WL,WLWA-004,ACABADO DE PARED: pintura acrílico lavable,3
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,FA,WL,WLWA-020,ACABADO DE PARED: vinilo hasta 1500 AFFL,3
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,FA,CL,CLTI-008,TECHO: cartón yeso baldosas de encastre preacabado 600 x 1200,1
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,FA,CL,CLCN-009,CORNICE: fijación de molduras de pared,1
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,FFE,FI,FIHR-030,GANCHO: equipo en placa de montaje,1
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,FFE,MM,MMBE-042,DIAPOSITIVA: paciente,1
base,DIAL,Dialisis,general,general,Fisioterapia,BMEQ,,,4,SE,EL,ELGP-208,GPO: doble montado en la pared,2
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FA,FL,FLSK-010,RODAPIÉS: vinilo suelo vinílico cóncavo 150H preacabado,5
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FA,FL,FLVY-009,ACABADO DEL PISO: vinilo sin costuras cóncavo área húmeda antideslizante,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FA,DW,DWPR-001,PROTECCIÓN DE LA PUERTA: rodapié hasta 300 AFFL,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FA,WL,WLWA-007,ACABADO DE PARED: salpicadero,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FA,WL,WLWA-004,ACABADO DE PARED: pintura acrílico lavable,4
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FA,CL,CLTI-014,TECHO: placa de yeso resistente al agua baldosas empotradas preacabado 600 x 1200,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FA,DW,DWSC-001,PUERTA: 850 mm c / o hoja simple núcleo macizo pintura,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FA,CL,CLCN-009,CORNICE: fijación de molduras de pared,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,FI,FIHR-026,GANCHO: abrigo,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,FQ,FQCW-016,CUBO: basura general 20L,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,FI,FIDI-025,DISPENSADOR: papel / toalla de mano,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,FI,FIDI-030,DISPENSADOR: jabón,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,FI,FIDI-036,DISPENSADOR: papel higiénico,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,FI,FIBM-006,ESPEJO: fijo vidrio,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,FQ,FQCW-037,BIN: residuos sanitario,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,HY,HYBA-011,LAVABO: lavado a mano Tipo C,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,HY,HYTP-036,GRIFERÍA: monomando lavabo palanca,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,FFE,HY,HYWC-008,WC SUITE: estándar,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,SE,HY,HYDR-004,DRENAJE: residuos de suelo,1
base,DIAL,Dialisis,general,general,áreas de apoyo,WCPU,,1,3,SE,EL,ELBO-015,INTERRUPTOR: ligero sencillo,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FA,FL,FLCP-006,ACABADO DEL PISO: moqueta losetas de moqueta lana / nailon 90/10,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FA,FL,FLSK-009,ZÓCALO: vinilo borde de pluma 150H preacabado,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FA,DW,DWPR-010,PROTECCIÓN DE LA PUERTA: al marco de la puerta PVC preacabado,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FA,WL,WLWA-004,ACABADO DE PARED: pintura acrílico lavable,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FA,CL,CLGE-001,TECHO: placas de yeso mamparo pintura,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FA,CL,CLTI-002,TECHO: acústico losetas empotradas 600 x 1200,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FA,CL,CLCN-002,CORNICE: aluminio ángulo de sombra de 24 mm pintura en polvo,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FA,DW,DWPR-006,PROTECCIÓN DE LA PUERTA: placa de protección hasta 900 AFFL PVC preacabado,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FA,DW,DWGL-003,PUERTA: 910 mm c/a hoja simple semividriada núcleo macizo/vidrio de seguridad pintura,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,FQ,FQBS-018,SILLA: oficina ergonómica,2
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,FQ,FQCW-016,CUBO: basura general 20L,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,FI,FIJO-171,UNIDAD DE CARPINTERÍA: encimera y mampara debajo accesible,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,FI,FIJO-177,UNIDAD DE CARPINTERÍA: mostrador de recepción superficies de alto rendimiento,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,FQ,FQSM-009,PEDESTAL: móvil unidad de archivo 660H,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,FI,FIBM-013,TABLERO DE ANUNCIOS: fijo cubierto de tela,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,WL,WLPT-008,PANTALLA: seguridad vidrio de seguridad,3
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,FI,FIJO-180,UNIDAD DE CARPINTERÍA: ranuras de papelería,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,IT,ITNE-007,COMPUTADORA: de escritorio con pantalla de visualización,2
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,IT,ITNE-023,IMPRESORA: en red,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,FFE,IT,ITNE-049,TELÉFONO: microteléfono escritorio,2
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,SE,IT,ITIN-026,SALIDA: datos doble RJ45 montaje en pared,3
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,SE,LI,LIFX-008,LUZ: luz de trabajo incorporada,2
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,SE,EL,ELBO-015,INTERRUPTOR: ligero sencillo,2
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,SE,EL,ELGP-208,GPO: doble montado en la pared,5
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,SE,EL,ELGP-123,GPO: energía de emergencia simple montado en la pared,1
base,DIAL,Dialisis,general,general,áreas de apoyo,RECL-10,,1,10,SE,IT,ITSE-006,BOTÓN: coacción fijo,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FA,FL,FLCP-003,ACABADO DEL PISO: alfombra en rollo 48 oz. 90/10 lana/nylon,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FA,FL,FLSK-009,ZÓCALO: vinilo borde de pluma 150H preacabado,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FA,WL,WLWA-004,ACABADO DE PARED: pintura acrílico lavable,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FA,CL,CLTI-002,TECHO: acústico losetas empotradas 600 x 1200,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FA,CL,CLCN-002,CORNICE: aluminio ángulo de sombra de 24 mm pintura en polvo,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FA,DW,DWPR-003,PROTECCIÓN DE PUERTAS: rodapié hasta 300 AFFL vinilo preacabado,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FA,DW,DWSC-003,PUERTA: 910 mm c / o hoja simple núcleo macizo pintura,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FFE,FI,FIJO-116,ARMARIO: alto puerta doble estantes ajustables,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FFE,FI,FIJO-136,ARMARIO: bajo banco puerta doble estantes ajustables con cerradura,2
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FFE,FI,FIJO-152,ARMARIO: montaje en pared estantería estantes adj.,2
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FFE,FQ,FQCW-019,CUBO: basura general 50L,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FFE,IT,ITNE-016,MÁQUINA DE FAX: escritorio,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FFE,FQ,FQGE-050,FOTOCOPIADORA: de pie,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FFE,IT,ITNE-023,IMPRESORA: en red,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,FFE,FI,FIJO-059,BANCO SUPERIOR: 600D carpintería debajo acabado laminado,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,SE,IT,ITIN-026,SALIDA: datos doble RJ45 montaje en pared,2
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,SE,LI,LIFX-008,LUZ: luz de trabajo incorporada,1
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,SE,EL,ELBO-015,INTERRUPTOR: ligero sencillo,2
base,DIAL,Dialisis,general,general,áreas de apoyo,STPS-8,,1,8,SE,EL,ELGP-208,GPO: doble montado en la pared,3
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,FL,FLVY-007,ACABADO DEL PISO: vinilo sin costuras cóncavo estándar antideslizante,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,FL,FLSK-010,RODAPIÉS: vinilo suelo vinílico cóncavo 150H preacabado,6
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,DW,DWPR-010,PROTECCIÓN DE LA PUERTA: al marco de la puerta PVC preacabado,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,DW,DWPR-005,PROTECCIÓN DE LA PUERTA: placa de protección hasta 900 AFFL,2
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,WL,WLWA-007,ACABADO DE PARED: salpicadero,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,WL,WLWA-004,ACABADO DE PARED: pintura acrílico lavable,4
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,WL,WLWA-020,ACABADO DE PARED: vinilo hasta 1500 AFFL,2
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,CL,CLTI-002,TECHO: acústico losetas empotradas 600 x 1200,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,DW,DWGL-005,PUERTA: 910 mm c/o hoja simple panel de observación núcleo sólido/vidrio pintura,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,WL,WLWA-025,ACABADO DE PARED: vinilo hasta 1200 AFFL,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,CL,CLCN-009,CORNICE: fijación de molduras de pared,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FA,DW,DWGL-077,PUERTA: 850 mm c / o hoja única panel de observación núcleo sólido / vidrio pintura,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,MG,MGFP-002,CAUDALÍMETRO: aire medicinal,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIDI-003,DISPENSADOR: saco de dormir,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIHR-019,SOPORTE: para botella de succión,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIHR-016,SOPORTE: para contenedor de objetos punzantes,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FQ,FQBS-018,SILLA: oficina ergonómica,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIDI-001,DISPENSADOR: desinfectante de manos a base de alcohol,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIHR-026,GANCHO: abrigo,2
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIRT-032,PISTA: cortina privacidad en forma de L,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FQ,FQGE-010,CORTINA: pantalla de privacidad,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FQ,FQCW-016,CUBO: basura general 20L,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,MM,MMGE-030,SET DE DIAGNÓSTICO: portátil,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIDI-014,DISPENSADOR: guante desechable,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIDI-025,DISPENSADOR: papel / toalla de mano,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIDI-030,DISPENSADOR: jabón,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIDI-031,DISPENSADOR: jabón antiséptico,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIBM-006,ESPEJO: fijo vidrio,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,MG,MGFP-004,CAUDALIMETRO: oxigeno,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FQ,FQCW-044,BIN: desechos objetos punzantes montado en la pared,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIJO-152,ARMARIO: montaje en pared estantería estantes adj.,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,MM,MMGE-002,ADAPTADOR: succión,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,MM,MMGE-100,BOTELLA DE SUCCION,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIBM-019,PIZARRA: fija magnética,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,HY,HYBA-010,LAVABO: lavado a mano Tipo B,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,HY,HYTP-037,GRIFERÍA: mezclador palancas de codo,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,IT,ITNE-007,COMPUTADORA: de escritorio con pantalla de visualización,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,MM,MMBE-023,CAMILLA: exploración eléctrica móvil,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,LI,LIFX-026,LUZ: examen montado en la pared,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,IT,ITNE-023,IMPRESORA: en red,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,IT,ITNE-050,TELÉFONO: auricular escritorio manos libres,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FQ,FQDW-037,ESCRITORIO: altura ajustable 1500W x 750D x 750H nom.,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FI,FIJO-212,MAMPARO: carpintería,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,FFE,FQ,FQBS-058,SILLA: visitante paciente con brazos,3
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,IT,ITIN-036,SALIDA: datos triple RJ45 montaje en pared,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,EL,ELPR-006,RCD: dispositivo de corriente residual,3
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,IT,ITCL-008,BOTÓN: llamada a la enfermera ayuda del personal,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,EL,ELBO-015,INTERRUPTOR: ligero sencillo,2
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,MG,MGAS-042,SALIDA: oxígeno (O2) en panel de servicios,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,MG,MGAS-022,SALIDA: aire medicinal (MA) en panel de servicios,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,MG,MGAS-062,SALIDA: aspiración en panel de servicios,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,IT,ITCL-028,AURICULAR: llamada de enfermera con botón de llamada del paciente al personal,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,IT,ITCL-004,BOTÓN: llamada de enfermera emergencia,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,EL,ELGP-109,GPO: individual montado en la pared,1
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,EL,ELGP-208,GPO: doble montado en la pared,3
base,DIAL,Dialisis,general,general,entrada,CONS,,1,14,SE,IT,ITSE-006,BOTÓN: coacción fijo,1
