from,to,area_en,area_es,area_fr,qty,m2,remarks_en,remarks_es,remarks_fr,room_en,room_es,room_fr
DIAL,SSTN-10,Treatment areas,Áreas de tratamiento,Zones de traitement,1,10,Area to be adjusted depending on staff profile. Higher ratio of staff  to patients on in-centre units. Space may need to be subdivided in larger units. Include electronic journey board (not visible to public).,Área a ajustar en función del perfil del personal. Mayor proporción de personal por pacientes en unidades del centro. Es posible que sea necesario subdividir el espacio en unidades más grandes. Incluir tablero de viaje electrónico (no visible al público).,Superficie à ajuster en fonction du profil du personnel. Ratio plus élevé entre le personnel et les patients dans les unités en centre. L'espace peut devoir être subdivisé en unités plus grandes. Inclure un tableau de bord électronique (non visible du public).,"Staff Station, 10m2","Estación de personal, 10m2","Poste du personnel, 10m2"
DIAL,BPTS,Treatment areas,Áreas de tratamiento,Zones de traitement,1,1,,yaya,,Bay - Pneumatic Tube,Bahía - Tubo neumático,Baie - Tube pneumatique
DIAL,PBTR-RD-A,Treatment areas,Áreas de tratamiento,Zones de traitement,9,9,Mix of recliners vs bed bays within these units to be determined based on the patient profile. Bays may be arranged in pods for apBPROPriate cohorting of patients. Refer to optional acute bed bay for in-centre units below.,La combinación de sillones reclinables frente a compartimentos de cama dentro de estas unidades se determinará en función del perfil del paciente. Las bahías se pueden organizar en grupos para una cohorte adecuada de pacientes. Consulte la bahía de cama aguda opcional para las unidades en el centro a continuación.,Mélange de fauteuils inclinables et de baies de lit dans ces unités à déterminer en fonction du profil du patient. Les baies peuvent être disposées en pods pour une cohorte apBPROPriée de patients. Reportez-vous à la baie de lit aigu en option pour les unités centrales ci-dessous.,"Patient Bay - Renal Dialysis, Chair","Bahía del Paciente - Diálisis Renal, Silla","Patient Bay - Dialyse rénale, fauteuil"
DIAL,1BR-H-12,Treatment areas,Áreas de tratamiento,Zones de traitement,1,12,Number of isolation rooms to be determined based on local infection control requirements. Refer to optional ensuite below.,El número de salas de aislamiento se determinará en función de los requisitos locales de control de infecciones. Consulte el baño opcional a continuación.,Nombre de chambres d'isolement à déterminer en fonction des exigences locales en matière de contrôle des infections. Reportez-vous à la salle de bains en option ci-dessous.,"1 Bed Room - Holding, 12m2","Habitación de 1 cama - Holding, 12m2","1 Chambre à coucher - Holding, 12m2"
DIAL,BHWS-B,Treatment areas,Áreas de tratamiento,Zones de traitement,3,1,One handwashing basin per three open bays or part thereof.,Un lavamanos por cada tres espacios abiertos o parte del mismo.,Un lave-mains pour trois baies ouvertes ou une partie de celles-ci.,"Bay - Handwashing, Type B","Bahía - Lavado de manos, tipo B","Baie - Lavage des mains, type B"
DIAL,PBAT,Treatment areas,Áreas de tratamiento,Zones de traitement,1,0.5,A Personal Protective Equipment Bay (one shared between two rooms) outside the isolation room.,Un compartimento para equipos de protección personal (uno compartido entre dos habitaciones) fuera de la sala de aislamiento.,Une baie d'équipement de protection individuelle (une partagée entre deux chambres) à l'extérieur de la chambre d'isolement.,"Patient Bay, Emergency - Ambulance Triage  ","Bahía de Pacientes, Emergencia - Triaje de Ambulancia","Baie des patients, urgence - Triage des ambulances"
DIAL,WCAC,Treatment areas,Áreas de tratamiento,Zones de traitement,,,For use by patients in open treatment bays,Para uso de pacientes en áreas de tratamiento abiertas,Pour une utilisation par les patients dans les baies de traitement ouvertes,Toilet - Accessible,Aseo - Accesible,Toilette - Accessible
DIAL,ENS-ACC,Treatment areas,Áreas de tratamiento,Zones de traitement,1,7,For use by patients in open treatment bays. Shower required for ad hoc instances.,Para uso de pacientes en áreas de tratamiento abiertas. Ducha necesaria para instancias ad hoc.,Pour une utilisation par les patients dans les baies de traitement ouvertes. Douche requise pour les cas ponctuels.,"Ensuite - Accessible, 7m2","Baño - Accesible, 7m2","Ensuite - Accessible, 7m2"
DIAL,CIR,Treatment areas,Áreas de tratamiento,Zones de traitement,0.38,,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
DIAL,PBAT,Treatment areas,Áreas de tratamiento,Zones de traitement,,,Optional. Larger sized bay for high acuity patients within in-centre units. Mix of recliners vs bed bays within these units to be determined based on the patient profile. ,Opcional. Bahía de mayor tamaño para pacientes de alta agudeza dentro de las unidades del centro. La combinación de sillones reclinables frente a compartimentos de cama dentro de estas unidades se determinará en función del perfil del paciente.,Optionnel. Baie de plus grande taille pour les patients de haute acuité dans les unités du centre. Mélange de fauteuils inclinables et de baies de lit dans ces unités à déterminer en fonction du profil du patient.,"Patient Bay, Emergency - Ambulance Triage  ","Bahía de Pacientes, Emergencia - Triaje de Ambulancia","Baie des patients, urgence - Triage des ambulances"
DIAL,ENS-ST-A1,Treatment areas,Áreas de tratamiento,Zones de traitement,1,5 (o),"Optional. Associated with isolation rooms, however these are rarely used for patients on haemodialysis and can be an infection control risk if used sparingly. Requirements will depend on local operational and infection control advice.","Opcional. Sin embargo, asociados con las salas de aislamiento, rara vez se usan para pacientes en hemodiálisis y pueden representar un riesgo de control de infecciones si se usan con moderación. Los requisitos dependerán del asesoramiento operativo y de control de infecciones local.","Optionnel. Associés aux chambres d'isolement, ceux-ci sont cependant rarement utilisés pour les patients sous hémodialyse et peuvent constituer un risque de contrôle des infections s'ils sont utilisés avec parcimonie. Les exigences dépendront des conseils opérationnels et de contrôle des infections locaux.","Ensuite - Inboard - Alternative 1, 5m2","Baño - Intraborda - Alternativa 1, 5m2","Ensuite - Inboard - Alternative 1, 5m2"
DIAL,CLUR-12,Support Area,Área de apoyo,Zone d'assistance,1,12,Larger allocation per chair for in-centre units due to higher volume of medications.,Mayor asignación por silla para unidades en el centro debido al mayor volumen de medicamentos.,Allocation plus importante par chaise pour les unités du centre en raison du volume plus élevé de médicaments.,"Clean Utility/ Medication Room, 12m2","Cuarto de servicio/medicina limpio, 12m2","Pièce utilitaire/médicaments propre, 12m2"
DIAL,BLIN,Support Area,Área de apoyo,Zone d'assistance,1,2,Cupboard or trolley bay to hold clean laundry,Compartimento para armario o carro para guardar la ropa limpia,Placard ou chariot pour ranger le linge propre,Bay - Linen,Bahía - Lino,Baie - Lin
DIAL,BRES,Support Area,Área de apoyo,Zone d'assistance,1,1.5,Adjacent to staff station ,Junto a la estación de personal,Adjacent au poste du personnel,Bay - Resuscitation Trolley,Carro de reanimación Bay,Bay - Chariot de réanimation
DIAL,BMEQ,Support Area,Área de apoyo,Zone d'assistance,2,2,"Consumable trolleys, IVs, BP machines, ultrasound, WOWs when not in use.  Additional area per chair required on in-centre units.","Carros de consumibles, intravenosos, máquinas de BP, ultrasonido, WOW cuando no están en uso. Se requiere un área adicional por silla en las unidades en el centro.","Chariots de consommables, IV, machines BP, ultrasons, WOWs lorsqu'ils ne sont pas utilisés. Espace supplémentaire par chaise requis sur les unités centrales.",Bay - Mobile Equipment,Bahía - Equipo móvil,Baie - Équipement mobile
DIAL,BBEV-OP,Support Area,Área de apoyo,Zone d'assistance,1,4,To receive and issue  light meals and beverages for patients.,Recibir y distribuir comidas y bebidas ligeras para los pacientes.,Recevoir et distribuer des repas légers et des boissons aux patients.,"Bay - Beverage, Open Plan, 4m2","Bahía - Bebida, Plan abierto, 4m2","Baie - Boissons, plan ouvert, 4m2"
DIAL,DTUR-10,Support Area,Área de apoyo,Zone d'assistance,1,8,ApBPROPriate disposal unit required for corrosive dialysate concentrate. Refer to HPU Section 2.2.11.,ApB Se requiere una unidad de eliminación adecuada para el concentrado de dializado corrosivo. Consulte la Sección 2.2.11 de HPU.,Unité d'élimination ApBPROPriate requise pour le concentré de dialysat corrosif. Reportez-vous à la section 2.2.11 du groupe hydraulique.,"Dirty Utility, 10m2","Utilidad sucia, 10m2","Utilitaire sale, 10m2"
DIAL,STBK-20,Support Area,Área de apoyo,Zone d'assistance,1,18,For dialysis fluid storage. Must be placed on the perimeter of the Unit and be accessible by a pallet lifter. Shelving must have 100kg weight capacity and shelves need to be at least 400mm apart or adjustable. ,Para el almacenamiento de líquidos de diálisis. Debe colocarse en el perímetro de la Unidad y ser accesible por un elevador de tarimas. Las estanterías deben tener una capacidad de peso de 100 kg y los estantes deben tener una separación de al menos 400 mm o ser ajustables.,Pour le stockage de liquide de dialyse. Doit être placé sur le périmètre de l'Unité et être accessible par un lève-palette. Les étagères doivent avoir une capacité de poids de 100 kg et les étagères doivent être espacées d'au moins 400 mm ou réglables.,"Store - Bulk, 20m2","Tienda - A granel, 20m2","Magasin - Vrac, 20m2"
DIAL,PLNT-WT,Support Area,Área de apoyo,Zone d'assistance,1,18,Close to treatment areas to reduce piping runs. 18m2 will support a unit of up to 12 chairs. 22m2 will support a unit up to 24 chairs. Final arrangement will depend on type / manufacturer of RO equipment procured.,Cerca de las áreas de tratamiento para reducir los recorridos de las tuberías. 18m2 soportarán una unidad de hasta 12 sillas. 22m2 soportarán una unidad de hasta 24 sillas. El arreglo final dependerá del tipo / fabricante del equipo de RO adquirido.,Proche des zones de traitement pour réduire les longueurs de tuyauterie. 18m2 supportera une unité de jusqu'à 12 chaises. 22m2 supportera une unité jusqu'à 24 chaises. L'arrangement final dépendra du type/du fabricant de l'équipement RO acheté.,Plant - Water Treatment,Planta de tratamiento de agua,Usine - Traitement des eaux
DIAL,TCHR,Support Area,Área de apoyo,Zone d'assistance,1,12,For the  servicing of dialysis machines. All machines require connection to power and plumbing. Ultrasound probes are also routinely reprocessed in this room.,Para el mantenimiento de máquinas de diálisis. Todas las máquinas requieren conexión a energía y plomería. Las sondas de ultrasonido también se reprocesan de forma rutinaria en esta sala.,Pour l'entretien des machines de dialyse. Toutes les machines nécessitent une connexion à l'électricité et à la plomberie. Les sondes à ultrasons sont également systématiquement retraitées dans cette salle.,Technical room,Sala técnica,Local technique
DIAL,STEQ-14,Support Area,Área de apoyo,Zone d'assistance,1,10,"This is usually combined with the Technician Room above. For storage of spare machines, portable RO units and other equipment. Area requirement will depend on need to store home dialysis equipment.  All machines require connection to power and plumbing. Training machines may be stored with training areas if dedicated service provided.","Esto generalmente se combina con la Sala de técnicos de arriba. Para el almacenamiento de máquinas de repuesto, unidades de ósmosis inversa portátiles y otros equipos. El requisito de área dependerá de la necesidad de almacenar el equipo de diálisis en el hogar. Todas las máquinas requieren conexión a energía y plomería. Las máquinas de entrenamiento se pueden almacenar con áreas de entrenamiento si se proporciona un servicio dedicado.","Ceci est généralement combiné avec la salle des techniciens ci-dessus. Pour le stockage de machines de rechange, d'unités RO portables et d'autres équipements. La superficie requise dépendra de la nécessité de stocker l'équipement de dialyse à domicile. Toutes les machines nécessitent une connexion à l'électricité et à la plomberie. Les machines d'entraînement peuvent être stockées avec des zones d'entraînement si un service dédié est fourni.","Store - Equipment, 14m2","Tienda - Equipo, 14m2","Magasin - Équipement, 14m2"
DIAL,DISP-8,Support Area,Área de apoyo,Zone d'assistance,1,3,Bay for waste.,Bahía para residuos.,Baie pour les déchets.,"Disposal Room, 8m2","Sala de desechos, 8m2","Salle d'élimination, 8m2"
DIAL,CLRM-5,Support Area,Área de apoyo,Zone d'assistance,1,5,,yaya,,"Cleaner's Room, 5m2","Cuarto de limpieza, 5m2","Salle de nettoyage, 5m2"
DIAL,CIR,Support Area,Área de apoyo,Zone d'assistance,0.25,,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
DIAL,BS-1,Support Area,Área de apoyo,Zone d'assistance,1,1 (o),"Optional, only required if significant travel distance to bulk store. ","Opcional, solo se requiere si hay una distancia de viaje significativa hasta el almacén a granel.","Facultatif, requis uniquement si la distance de déplacement importante jusqu'au magasin en vrac est importante.","Bay - Storage, 1m2","Bahía - Almacenamiento, 1m2","Baie - Rangement, 1m2"
DIAL,OFF-S9,Staff areas,Áreas de personal,Espaces pour le personnel,,9,Number and area allocation will depend on staff profile and local jurisdictional policies.,La asignación de número y área dependerá del perfil del personal y las políticas jurisdiccionales locales.,Le nombre et la répartition géographique dépendront du profil du personnel et des politiques juridictionnelles locales.,"Office - Single Person, 9m2","Oficina - Persona sola, 9m2","Bureau - Personne seule, 9m2"
DIAL,OFF-SWS,Staff areas,Áreas de personal,Espaces pour le personnel,,4.4,Number and area allocation will depend on staff profile and local jurisdictional policies.,La asignación de número y área dependerá del perfil del personal y las políticas jurisdiccionales locales.,Le nombre et la répartition géographique dépendront du profil du personnel et des politiques juridictionnelles locales.,"Office - Shared Workstation, 2.2m2","Oficina - Puesto de trabajo compartido, 2,2m2","Bureau - Poste de travail partagé, 2,2m2"
DIAL,SRM-15,Staff areas,Áreas de personal,Espaces pour le personnel,1,10,Discreet section of the Unit. Size will be dependent on staff profile. Larger staff ratio per chair for in-centre services. Direct access required as staff are unable to leave the unit. ,Sección discreta de la Unidad. El tamaño dependerá del perfil del personal. Mayor proporción de personal por silla para servicios en el centro. Se requiere acceso directo ya que el personal no puede salir de la unidad.,Section discrète de l'Unité. La taille dépendra du profil du personnel. Ratio de personnel par chaise plus élevé pour les services en centre. Accès direct requis car le personnel ne peut pas quitter l'unité.,"Staff Room, 15m2","Sala de personal, 15m2","Salle du personnel, 15m2"
DIAL,WCST,Staff areas,Áreas de personal,Espaces pour le personnel,1,3,Discreet location. Access to a shower may also be required. Access to accessible toilet also required.,Ubicacion discreta. También puede ser necesario el acceso a una ducha. También se requiere acceso a un baño accesible.,Endroit discret. L'accès à une douche peut également être requis. Accès à des toilettes accessibles également requis.,Toilet - Staff,Aseo - Personal,Toilette - Personnel
DIAL,BPROP,Staff areas,Áreas de personal,Espaces pour le personnel,1,0.5,Discreet and secure location. Adjacent to Staff Room.,Ubicación discreta y segura. Contiguo a la sala de profesores.,Endroit discret et sécurisé. Adjacent à la salle du personnel.,"Bay - Property, Staff","Bahía - Propiedad, Personal","Baie - Propriété, Personnel"
DIAL,CIR,Staff areas,Áreas de personal,Espaces pour le personnel,0.25,,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
REHA,1BR-ST-A1,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,,16,A size of 16.5m2 is recommended where an 8.4m grid is used. Outboard ensuite options are also suitable.,"Se recomienda un tamaño de 16,5 m2 cuando se utiliza una cuadrícula de 8,4 m. Las opciones fuera de borda con baño también son adecuadas.","Une taille de 16,5 m2 est recommandée lorsqu'une grille de 8,4 m est utilisée. Les options de salle de bains hors-bord conviennent également.","1 Bed Room - Inboard Ensuite, Type 1","Habitación de 1 cama - con baño interior, tipo 1","Chambre à 1 lit - Inboard Ensuite, Type 1"
REHA,1BR-BA,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,1,18,,yaya,,1 Bed Room - Bariatric,Habitación de 1 cama - Bariátrica,Chambre à 1 lit - bariatrique
REHA,1BR-SP-A2,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,,18,This room size is noted in this guideline to cater for selected specialist rehabilitation services (e.g. spinal injuries).,"Este tamaño de la habitación se indica en esta guía para atender a los servicios de rehabilitación especializados seleccionados (por ejemplo, lesiones de la columna vertebral).","Cette taille de pièce est indiquée dans cette directive pour prendre en charge certains services de réadaptation spécialisés (par exemple, les blessures à la colonne vertébrale).","1 Bed Room - Special, Inboard Ensuite, Type 2","Habitación de 1 cama - especial, con baño interior, tipo 2","Chambre à 1 lit - Spécial, Inboard Ensuite, Type 2"
REHA,2BR-ST-A1,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,,27,A size of 29m2 is recommended where an 8.4m grid is used.,"Se recomienda un tamaño de 29m2 cuando se utilice una cuadrícula de 8,4 m.","Une taille de 29 m2 est recommandée lorsqu'une grille de 8,4 m est utilisée.","2 Bed Room - Inboard Ensuite, Type 1","Habitación de 2 camas - con baño interior, tipo 1","Chambre à 2 lits - Inboard Ensuite, Type 1"
REHA,1BR-SP-A1,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,1,25,"Inclusion dependent on service model. Assumes open plan unit with bed room area, small lounge, dining and kitchenette. Ensuite allocation additional. ","La inclusión depende del modelo de servicio. Asume una unidad de plan abierto con área de dormitorio, pequeño salón, comedor y cocina. Asignación de baño adicional.","L'inclusion dépend du modèle de service. Suppose une unité à aire ouverte avec une chambre à coucher, un petit salon, une salle à manger et une kitchenette. Attribution attenante en sus.","1 Bed Room - Special, Inboard Ensuite, Type 1","Habitación de 1 cama - especial, con baño interior, tipo 1","Chambre à 1 lit - Spécial, Inboard Ensuite, Type 1"
REHA,ENS-ST-A1,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,,5,One ensuite for each 1 and 2 bed room. Refer Note 5. ,Un baño para cada habitación de 1 y 2 camas. Consulte la Nota 5.,Une salle de bains pour chaque chambre à 1 et 2 lits. Se référer à la note 5.,"Ensuite - Inboard - Alternative 1, 5m2","Baño - Intraborda - Alternativa 1, 5m2","Ensuite - Inboard - Alternative 1, 5m2"
REHA,ENS-BA,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,1,7,Attached to 1 Bed Room – Bariatric.,Adjunto a una habitación de 1 dormitorio - Bariátrica.,Attaché à 1 chambre à coucher - bariatrique.,"Ensuite - Bariatric, 7m2","Baño - Bariátrico, 7m2","Ensuite - bariatrique, 7m2"
REHA,ENS-SP,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,,6,Attached to 1 Bed Room – Special.,Adjunto a una habitación de 1 cama - Especial.,Attaché à 1 chambre à coucher - spécial.,"Ensuite - Special, 6m2","Ensuite - Especial, 6m2","Ensuite - Spécial, 6m2"
REHA,BATH,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,1,15,Optional.,Opcional.,Optionnel.,Bathroom,Baño,Salle de bain
REHA,CIR,Inpatient-rooms,Habitaciones para pacientes hospitalizados,Chambres d'hospitalisation,0.38,,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
REHA,LNPT-30,Inpatient-shared,Compartido para pacientes hospitalizados,Partagé avec les patients hospitalisés,1,24,Allocated at 2m2 per person assuming 50% occupancy. ,Asignado a 2m2 por persona asumiendo un 50% de ocupación.,Attribué à 2m2 par personne en supposant une occupation de 50%.,"Lounge - Patient / Family, 30m2","Sala de estar - Paciente / Familia, 30m2","Salon - Patient / Famille, 30m2"
REHA,ADLD,Inpatient-shared,Compartido para pacientes hospitalizados,Partagé avec les patients hospitalisés,1,36,18 people at 2m2 assuming approximately 75% occupancy. ,18 personas en 2m2 asumiendo aproximadamente un 75% de ocupación.,18 personnes à 2m2 en supposant environ 75% d'occupation.,ADL Dining,Comedor ADL,ADL Dining
REHA,WCAC,Inpatient-shared,Compartido para pacientes hospitalizados,Partagé avec les patients hospitalisés,1,6,Adjacent to shared areas.,Contiguo a áreas compartidas.,Adjacent aux zones communes.,Toilet - Accessible,Aseo - Accesible,Toilette - Accessible
REHA,LAUN-PT,Inpatient-shared,Compartido para pacientes hospitalizados,Partagé avec les patients hospitalisés,1,6,"Optional, depending on length of stay and local models. ","Opcional, según duración de la estancia y modelos locales.","En option, en fonction de la durée du séjour et des modèles locaux.","Laundry - Patient, 6m2","Lavandería - Paciente, 6m2","Laverie - Patient, 6m2"
REHA,CIR,Inpatient-shared,Compartido para pacientes hospitalizados,Partagé avec les patients hospitalisés,0.38,,,yaya,,Discount circulation,Descuento en la circulación,Circulation à prix réduit
REHA,BHWS-B,clinical support,apoyo clínico,soutien clinique,1,1,Located along corridors to suit layout and access.,Ubicado a lo largo de pasillos para adaptarse a la distribución y el acceso.,Situé le long des couloirs pour s'adapter à la disposition et à l'accès.,"Bay - Handwashing, Type B","Bahía - Lavado de manos, tipo B","Baie - Lavage des mains, type B"
REHA,SSTN-14,clinical support,apoyo clínico,soutien clinique,1,14,,yaya,,"Staff Station, 14m2","Estación de personal, 14m2","Poste du personnel, 14m2"
REHA,OFF-CLN,clinical support,apoyo clínico,soutien clinique,1,15,Provided for multidisciplinary team.,Previsto para equipo multidisciplinar.,Prévu pour une équipe multidisciplinaire.,Office - Clinical Workroom,Oficina - Sala de trabajo clínico,Bureau - Salle de travail clinique
REHA,STPS-8,clinical support,apoyo clínico,soutien clinique,1,8,,yaya,,"Store - Photocopy/ Stationery, 8m2","Tienda - Fotocopias / Papelería, 8m2","Magasin - Photocopie/papeterie, 8m2"
REHA,MEET-L-20,clinical support,apoyo clínico,soutien clinique,1,20,"Use for staff training, meeting and activities with families or patient education. ","Úselo para capacitación del personal, reuniones y actividades con familias o educación del paciente.","À utiliser pour la formation du personnel, les réunions et les activités avec les familles ou l'éducation des patients.","Meeting Room, 20m2","Sala de reuniones, 20m2","Salle de réunion, 20m2"
REHA,MEET-12,clinical support,apoyo clínico,soutien clinique,1,12,Wheelchair access needed.,Se necesita acceso para sillas de ruedas.,Accès en fauteuil roulant nécessaire.,"Meeting Room, 12m2","Sala de reuniones, 12m2","Salle de réunion, 12m2"
REHA,CLUR-14,clinical support,apoyo clínico,soutien clinique,1,14,,yaya,,"Clean Utility/ Medication Room, 14m2","Cuarto de servicio/medicina limpio, 14m2","Pièce utilitaire/médicaments propre, 14m2"
